,id,title,crit_score,user_score,PC,PlayStation,PlayStation2,PlayStation3,PlayStation4,Xbox,Xbox360,XboxOne,genre,release_year,is_mult,is_single
8286,8286,sword-of-the-stars-the-pit,69.0,7.8,1,0,0,0,0,0,0,0,Indie,2013,0,1
8288,8288,syberia,82.0,8.5,1,0,1,0,0,1,0,0,Adventure,2002,0,1
8289,8289,syberia-3,51.0,5.9,1,0,0,0,1,0,0,1,Adventure,2017,0,1
8290,8290,syberia-ii,80.0,8.4,1,0,1,0,0,1,0,0,Adventure,2004,0,1
8294,8294,symphony,75.0,7.6,1,0,0,0,0,0,0,0,Arcade,2012,0,1
8295,8295,symphony-of-the-machine,64.0,4.8,1,1,0,0,0,0,0,0,Indie,2017,0,1
8298,8298,syndrome,56.0,5.6,1,0,0,0,1,0,0,1,Adventure,2016,0,1
8299,8299,syphon-filter,90.0,8.7,0,0,0,1,0,0,0,0,Shooter,1999,0,1
8300,8300,syphon-filter-3,73.0,8.6,0,1,0,0,0,0,0,0,Adventure,2001,1,1
8301,8301,syphon-filter-dark-mirror,87.0,8.8,0,0,1,0,0,0,0,0,Shooter,2006,1,1
8302,8302,syphon-filter-the-omega-strain,65.0,7.1,0,0,1,0,0,0,0,0,Adventure,2004,0,0
8303,8303,system-shock-2,92.0,9.1,1,0,0,0,0,0,0,0,Role-playing (RPG),1999,0,1
8304,8304,system-shock-enhanced-edition,85.0,8.4,1,0,0,0,0,0,0,0,Adventure,2015,0,1
8307,8307,table-top-racing,63.0,6.8,0,1,0,0,0,0,0,0,Racing,2014,1,1
8308,8308,table-top-racing-world-tour,75.0,5.6,1,0,0,0,1,0,0,1,Indie,2016,1,1
8311,8311,tachyon-project,74.0,6.9,1,0,0,0,1,0,0,1,Arcade,2015,1,1
8312,8312,tacoma,79.0,6.6,1,0,0,0,1,0,0,1,Adventure,2017,0,1
8313,8313,tactical-intervention,47.0,5.9,1,0,0,0,0,0,0,0,Shooter,2013,1,0
8314,8314,tactical-ops-assault-on-terror,57.0,7.2,1,0,0,0,0,0,0,0,Shooter,2002,1,1
8315,8315,tactics-ogre-let-us-cling-together,87.0,8.7,0,1,0,0,0,0,0,0,Adventure,1995,0,1
8318,8318,taiko-no-tatsujin-drum-session,70.0,6.5,0,0,0,0,1,0,0,0,Music,2017,1,1
8320,8320,taito-legends-2,67.0,8.2,1,0,1,0,0,1,0,0,Adventure,2006,0,1
8322,8322,tak-2-the-staff-of-dreams,75.0,8.7,0,0,1,0,0,1,0,0,Adventure,2004,0,1
8323,8323,tak-and-the-power-of-juju,79.0,8.2,0,0,1,0,0,0,0,0,Adventure,2003,0,1
8324,8324,take-command-2nd-manassas,74.0,7.8,1,0,0,0,0,0,0,0,Indie,2016,0,1
8326,8326,takedown-red-sabre,34.0,2.9,1,0,0,0,0,0,1,0,Shooter,2013,1,1
8327,8327,take-on-helicopters,70.0,6.7,1,0,0,0,0,0,0,0,Simulator,2011,1,1
8328,8328,take-on-mars,62.0,7.6,1,0,0,0,0,0,0,0,Simulator,2013,1,1
8329,8329,tak-the-great-juju-challenge,75.0,8.1,0,0,1,0,0,1,0,0,Adventure,2005,0,1
8330,8330,tales-from-space-about-a-blob,76.0,7.8,0,0,0,1,0,0,0,0,Puzzle,2011,0,0
8331,8331,tales-from-space-mutant-blobs-attack,86.0,8.3,1,1,0,0,0,0,0,0,Indie,2012,0,1
8333,8333,tales-from-the-borderlands-episode-1-zer0-sum,84.0,8.4,1,0,0,1,1,0,1,1,Adventure,2014,0,1
8334,8334,tales-from-the-borderlands-episode-2-atlas-mugged,81.0,7.5,1,0,0,1,1,0,1,1,Adventure,2015,0,1
8335,8335,tales-from-the-borderlands-episode-3-catch-a-ride,83.0,7.4,1,0,0,1,1,0,1,1,Adventure,2015,0,1
8336,8336,tales-from-the-borderlands-episode-4-escape-plan-bravo,79.0,8.4,1,0,0,1,1,0,1,1,Adventure,2015,0,1
8337,8337,tales-from-the-borderlands-episode-5-the-vault-of-the-traveler,90.0,7.9,1,0,0,1,1,0,1,1,Adventure,2015,0,1
8338,8338,tales-of-berseria,80.0,6.5,1,0,0,1,1,0,0,0,Role-playing (RPG),2016,1,1
8340,8340,tales-of-graces-f,77.0,8.5,0,0,0,1,0,0,0,0,Hack and slash/Beat 'em up,2010,0,0
